ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-11-01T00:00:00.000000000Z,33,98,7600010,103.800000000,103.800000000,103.800000000,103.800000000,1,DX  FMZ0024!
2024-11-01T00:00:00.000000000Z,33,97,7600010,103.800000000,103.815000000,103.800000000,103.815000000,92,DX  FMZ0024!
2024-11-01T00:01:00.000000000Z,33,97,7600010,103.815000000,103.815000000,103.800000000,103.800000000,34,DX  FMZ0024!
2024-11-01T00:02:00.000000000Z,33,97,7600010,103.800000000,103.820000000,103.800000000,103.815000000,98,DX  FMZ0024!
2024-11-01T00:03:00.000000000Z,33,97,7600010,103.815000000,103.825000000,103.815000000,103.820000000,5,DX  FMZ0024!
2024-11-01T00:04:00.000000000Z,33,97,7600010,103.820000000,103.820000000,103.820000000,103.820000000,7,DX  FMZ0024!
2024-11-01T00:05:00.000000000Z,33,97,7600010,103.815000000,103.815000000,103.815000000,103.815000000,1,DX  FMZ0024!
2024-11-01T00:06:00.000000000Z,33,97,7600010,103.815000000,103.820000000,103.815000000,103.820000000,3,DX  FMZ0024!
2024-11-01T00:09:00.000000000Z,33,97,7600010,103.835000000,103.835000000,103.825000000,103.825000000,4,DX  FMZ0024!
2024-11-01T00:10:00.000000000Z,33,97,7600010,103.825000000,103.825000000,103.825000000,103.825000000,2,DX  FMZ0024!
2024-11-01T00:11:00.000000000Z,33,97,7600010,103.820000000,103.825000000,103.820000000,103.825000000,3,DX  FMZ0024!
2024-11-01T00:13:00.000000000Z,33,97,7600010,103.820000000,103.820000000,103.820000000,103.820000000,14,DX  FMZ0024!
2024-11-01T00:14:00.000000000Z,33,97,7600010,103.820000000,103.825000000,103.820000000,103.820000000,13,DX  FMZ0024!
2024-11-01T00:15:00.000000000Z,33,97,7600010,103.830000000,103.845000000,103.830000000,103.840000000,22,DX  FMZ0024!
2024-11-01T00:16:00.000000000Z,33,97,7600010,103.840000000,103.840000000,103.835000000,103.835000000,49,DX  FMZ0024!
2024-11-01T00:17:00.000000000Z,33,97,7600010,103.835000000,103.840000000,103.835000000,103.840000000,10,DX  FMZ0024!
2024-11-01T00:18:00.000000000Z,33,97,7600010,103.840000000,103.840000000,103.835000000,103.835000000,7,DX  FMZ0024!
2024-11-01T00:19:00.000000000Z,33,97,7600010,103.840000000,103.840000000,103.830000000,103.830000000,17,DX  FMZ0024!
2024-11-01T00:20:00.000000000Z,33,97,7600010,103.830000000,103.830000000,103.830000000,103.830000000,4,DX  FMZ0024!
2024-11-01T00:21:00.000000000Z,33,97,7600010,103.820000000,103.820000000,103.820000000,103.820000000,2,DX  FMZ0024!
2024-11-01T00:22:00.000000000Z,33,97,7600010,103.825000000,103.835000000,103.820000000,103.835000000,10,DX  FMZ0024!
2024-11-01T00:23:00.000000000Z,33,97,7600010,103.840000000,103.840000000,103.835000000,103.835000000,5,DX  FMZ0024!
2024-11-01T00:24:00.000000000Z,33,97,7600010,103.835000000,103.835000000,103.835000000,103.835000000,8,DX  FMZ0024!
2024-11-01T00:28:00.000000000Z,33,97,7600010,103.830000000,103.830000000,103.830000000,103.830000000,1,DX  FMZ0024!
2024-11-01T00:29:00.000000000Z,33,97,7600010,103.820000000,103.830000000,103.820000000,103.830000000,15,DX  FMZ0024!
