ts_event,open,high,low,close,volume,rtype,publisher_id,instrument_id,symbol
2024-11-01 00:00:00+00:00,103.8,103.825,103.8,103.82,236,33.0,97.0,7600010.0,DX
2024-11-01 00:05:00+00:00,103.815,103.835,103.815,103.825,8,33.0,97.0,7600010.0,DX
2024-11-01 00:10:00+00:00,103.825,103.825,103.82,103.82,32,33.0,97.0,7600010.0,DX
2024-11-01 00:15:00+00:00,103.83,103.845,103.83,103.83,105,33.0,97.0,7600010.0,DX
2024-11-01 00:20:00+00:00,103.83,103.84,103.82,103.835,29,33.0,97.0,7600010.0,DX
2024-11-01 00:25:00+00:00,103.83,103.83,103.82,103.83,16,33.0,97.0,7600010.0,DX
2024-11-01 00:30:00+00:00,103.835,103.84,103.835,103.835,33,33.0,97.0,7600010.0,DX
2024-11-01 00:35:00+00:00,103.825,103.825,103.82,103.82,20,33.0,97.0,7600010.0,DX
2024-11-01 00:40:00+00:00,103.82,103.825,103.805,103.805,44,33.0,97.0,7600010.0,DX
2024-11-01 00:45:00+00:00,103.795,103.8,103.79,103.795,31,33.0,97.0,7600010.0,DX
2024-11-01 00:50:00+00:00,103.8,103.8,103.77,103.78,57,33.0,97.0,7600010.0,DX
2024-11-01 00:55:00+00:00,103.775,103.79,103.775,103.79,37,33.0,97.0,7600010.0,DX
2024-11-01 01:00:00+00:00,103.795,103.795,103.785,103.79,36,33.0,97.0,7600010.0,DX
2024-11-01 01:05:00+00:00,103.785,103.785,103.43,103.43,19,33.0,97.0,7600010.0,DX
2024-11-01 01:10:00+00:00,103.77,103.775,103.765,103.765,25,33.0,97.0,7600010.0,DX
2024-11-01 01:15:00+00:00,103.77,103.77,103.76,103.77,48,33.0,97.0,7600010.0,DX
2024-11-01 01:20:00+00:00,103.77,103.785,103.76,103.785,68,33.0,97.0,7600010.0,DX
2024-11-01 01:25:00+00:00,103.78,103.795,103.78,103.795,49,33.0,97.0,7600010.0,DX
2024-11-01 01:30:00+00:00,103.8,103.81,103.8,103.81,150,33.0,97.0,7600010.0,DX
2024-11-01 01:35:00+00:00,103.81,103.845,103.81,103.845,62,33.0,97.0,7600010.0,DX
2024-11-01 01:40:00+00:00,103.85,103.865,103.5,103.865,59,33.0,97.0,7600010.0,DX
2024-11-01 01:45:00+00:00,103.865,103.865,103.85,103.85,68,33.0,97.0,7600010.0,DX
2024-11-01 01:50:00+00:00,103.475,103.845,103.475,103.84,29,33.0,97.0,7698408.0,DX
2024-11-01 01:55:00+00:00,103.845,103.845,103.835,103.835,9,33.0,97.0,7600010.0,DX
2024-11-01 02:00:00+00:00,103.85,103.85,103.85,103.85,1,33.0,97.0,7600010.0,DX
2024-11-01 02:05:00+00:00,103.85,103.855,103.85,103.855,23,33.0,97.0,7600010.0,DX
2024-11-01 02:10:00+00:00,103.86,103.865,103.855,103.86,44,33.0,97.0,7600010.0,DX
2024-11-01 02:15:00+00:00,103.85,103.855,103.845,103.85,44,33.0,97.0,7600010.0,DX
2024-11-01 02:20:00+00:00,103.855,103.855,103.84,103.845,42,33.0,97.0,7600010.0,DX
2024-11-01 02:25:00+00:00,103.84,103.84,103.84,103.84,8,33.0,97.0,7600010.0,DX
2024-11-01 02:30:00+00:00,103.85,103.855,103.85,103.855,5,33.0,97.0,7600010.0,DX
2024-11-01 02:35:00+00:00,103.86,103.865,103.86,103.865,5,33.0,97.0,7600010.0,DX
2024-11-01 02:40:00+00:00,103.87,103.87,103.87,103.87,12,33.0,97.0,7600010.0,DX
2024-11-01 02:45:00+00:00,103.87,103.875,103.87,103.875,3,33.0,97.0,7600010.0,DX
2024-11-01 02:50:00+00:00,103.875,103.875,103.87,103.87,6,33.0,97.0,7600010.0,DX
2024-11-01 02:55:00+00:00,103.875,103.875,103.865,103.865,8,33.0,97.0,7600010.0,DX
2024-11-01 03:00:00+00:00,103.86,103.865,103.86,103.86,6,33.0,97.0,7600010.0,DX
2024-11-01 03:05:00+00:00,103.865,103.88,103.865,103.88,31,33.0,97.0,7600010.0,DX
2024-11-01 03:10:00+00:00,103.88,103.88,103.875,103.88,25,33.0,97.0,7600010.0,DX
2024-11-01 03:15:00+00:00,103.88,103.885,103.88,103.885,51,33.0,97.0,7600010.0,DX
2024-11-01 03:20:00+00:00,103.875,103.89,103.875,103.885,22,33.0,97.0,7600010.0,DX
2024-11-01 03:25:00+00:00,103.885,103.89,103.88,103.89,21,33.0,97.0,7600010.0,DX
2024-11-01 03:30:00+00:00,103.885,103.885,103.88,103.88,11,33.0,97.0,7600010.0,DX
2024-11-01 03:35:00+00:00,103.865,103.875,103.865,103.87,38,33.0,97.0,7600010.0,DX
2024-11-01 03:40:00+00:00,103.865,103.865,103.865,103.865,16,33.0,97.0,7600010.0,DX
2024-11-01 03:45:00+00:00,103.86,103.87,103.86,103.865,17,33.0,97.0,7600010.0,DX
2024-11-01 03:50:00+00:00,103.87,103.875,103.86,103.875,34,33.0,97.0,7600010.0,DX
2024-11-01 03:55:00+00:00,103.88,103.89,103.88,103.89,32,33.0,97.0,7600010.0,DX
2024-11-01 04:00:00+00:00,103.89,103.895,103.885,103.885,68,33.0,97.0,7600010.0,DX
2024-11-01 04:05:00+00:00,103.89,103.89,103.89,103.89,16,33.0,97.0,7600010.0,DX
2024-11-01 04:10:00+00:00,103.885,103.885,103.88,103.885,34,33.0,97.0,7600010.0,DX
2024-11-01 04:15:00+00:00,103.885,103.885,103.88,103.88,12,33.0,97.0,7600010.0,DX
2024-11-01 04:20:00+00:00,103.88,103.88,103.875,103.875,11,33.0,97.0,7600010.0,DX
2024-11-01 04:30:00+00:00,103.875,103.875,103.875,103.875,12,33.0,97.0,7600010.0,DX
2024-11-01 04:35:00+00:00,103.875,103.875,103.875,103.875,10,33.0,97.0,7600010.0,DX
2024-11-01 04:40:00+00:00,103.875,103.88,103.875,103.88,8,33.0,97.0,7600010.0,DX
2024-11-01 04:45:00+00:00,103.875,103.885,103.875,103.885,23,33.0,97.0,7600010.0,DX
2024-11-01 04:50:00+00:00,103.885,103.885,103.885,103.885,10,33.0,97.0,7600010.0,DX
2024-11-01 04:55:00+00:00,103.885,103.89,103.885,103.885,9,33.0,97.0,7600010.0,DX
2024-11-01 05:05:00+00:00,103.89,103.895,103.89,103.895,22,33.0,97.0,7600010.0,DX
2024-11-01 05:15:00+00:00,103.885,103.895,103.885,103.89,34,33.0,97.0,7600010.0,DX
2024-11-01 05:20:00+00:00,103.895,103.915,103.895,103.915,11,33.0,97.0,7600010.0,DX
2024-11-01 05:25:00+00:00,103.92,103.93,103.92,103.92,18,33.0,97.0,7600010.0,DX
2024-11-01 05:30:00+00:00,103.92,103.93,103.92,103.93,25,33.0,97.0,7600010.0,DX
2024-11-01 05:35:00+00:00,103.935,103.935,103.925,103.93,37,33.0,97.0,7600010.0,DX
2024-11-01 05:40:00+00:00,103.93,103.945,103.93,103.945,20,33.0,97.0,7600010.0,DX
2024-11-01 05:45:00+00:00,103.945,103.95,103.945,103.95,44,33.0,97.0,7600010.0,DX
2024-11-01 05:50:00+00:00,103.95,103.955,103.945,103.945,28,33.0,97.0,7600010.0,DX
2024-11-01 05:55:00+00:00,103.94,103.94,103.93,103.94,10,33.0,97.0,7600010.0,DX
2024-11-01 06:00:00+00:00,103.93,103.93,103.915,103.915,6,33.0,97.0,7600010.0,DX
2024-11-01 06:05:00+00:00,103.915,103.92,103.905,103.905,8,33.0,97.0,7600010.0,DX
2024-11-01 06:10:00+00:00,103.915,103.915,103.9,103.91,46,33.0,97.0,7600010.0,DX
2024-11-01 06:15:00+00:00,103.905,103.91,103.905,103.91,9,33.0,97.0,7600010.0,DX
2024-11-01 06:20:00+00:00,103.91,103.91,103.895,103.895,13,33.0,97.0,7600010.0,DX
2024-11-01 06:25:00+00:00,103.915,103.92,103.91,103.91,32,33.0,97.0,7600010.0,DX
2024-11-01 06:30:00+00:00,103.91,103.91,103.905,103.91,6,33.0,97.0,7600010.0,DX
