ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-09-08T00:00:00.000000000Z,33,97,7873621,97.84,97.87,97.83,97.865,23,DX
2025-09-08T00:01:00.000000000Z,33,97,7873621,97.865,97.865,97.855,97.855,3,DX
2025-09-08T00:02:00.000000000Z,33,97,7873621,97.86,97.865,97.86,97.865,6,DX
2025-09-08T00:03:00.000000000Z,33,97,7873621,97.865,97.875,97.865,97.875,5,DX
2025-09-08T00:04:00.000000000Z,33,97,7873621,97.87,97.88,97.865,97.88,14,DX
2025-09-08T00:05:00.000000000Z,33,97,7873621,97.885,97.9,97.885,97.895,14,DX
2025-09-08T00:06:00.000000000Z,33,97,7873621,97.895,97.895,97.89,97.89,4,DX
2025-09-08T00:07:00.000000000Z,33,97,7873621,97.895,97.895,97.895,97.895,1,DX
2025-09-08T00:08:00.000000000Z,33,97,7873621,97.89,97.89,97.89,97.89,3,DX
2025-09-08T00:09:00.000000000Z,33,97,7873621,97.89,97.9,97.89,97.9,4,DX
2025-09-08T00:10:00.000000000Z,33,97,7873621,97.88,97.88,97.88,97.88,3,DX
2025-09-08T00:13:00.000000000Z,33,97,7873621,97.9,97.9,97.89,97.895,20,DX
2025-09-08T00:14:00.000000000Z,33,97,7873621,97.895,97.895,97.885,97.89,23,DX
2025-09-08T00:15:00.000000000Z,33,97,7873621,97.89,97.89,97.885,97.89,35,DX
2025-09-08T00:16:00.000000000Z,33,97,7873621,97.885,97.885,97.885,97.885,6,DX
2025-09-08T00:17:00.000000000Z,33,97,7873621,97.895,97.895,97.895,97.895,2,DX
2025-09-08T00:18:00.000000000Z,33,97,7873621,97.89,97.89,97.885,97.885,7,DX
2025-09-08T00:19:00.000000000Z,33,97,7873621,97.895,97.9,97.895,97.895,13,DX
2025-09-08T00:20:00.000000000Z,33,97,7873621,97.895,97.895,97.895,97.895,13,DX
2025-09-08T00:21:00.000000000Z,33,97,7873621,97.91,97.915,97.91,97.91,28,DX
2025-09-08T00:22:00.000000000Z,33,97,7873621,97.905,97.905,97.905,97.905,1,DX
2025-09-08T00:23:00.000000000Z,33,97,7873621,97.895,97.895,97.885,97.885,15,DX
2025-09-08T00:24:00.000000000Z,33,97,7873621,97.885,97.885,97.885,97.885,1,DX
2025-09-08T00:25:00.000000000Z,33,97,8024379,97.49,97.49,97.49,97.49,3,DX
2025-09-08T00:26:00.000000000Z,33,97,7873621,97.87,97.87,97.87,97.87,1,DX
2025-09-08T00:27:00.000000000Z,33,97,7873621,97.875,97.875,97.875,97.875,2,DX
2025-09-08T00:29:00.000000000Z,33,97,7873621,97.87,97.87,97.87,97.87,14,DX
2025-09-08T00:30:00.000000000Z,33,97,7873621,97.865,97.87,97.865,97.87,7,DX
2025-09-08T00:31:00.000000000Z,33,97,7873621,97.885,97.885,97.885,97.885,1,DX
2025-09-08T00:36:00.000000000Z,33,97,8024379,97.505,97.505,97.505,97.505,1,DX
2025-09-08T00:37:00.000000000Z,33,97,8024379,97.495,97.495,97.495,97.495,4,DX
2025-09-08T00:38:00.000000000Z,33,97,7873621,97.88,97.88,97.88,97.88,10,DX
2025-09-08T00:40:00.000000000Z,33,97,8024379,97.49,97.49,97.49,97.49,16,DX
2025-09-08T00:41:00.000000000Z,33,97,8024379,97.495,97.495,97.495,97.495,1,DX
2025-09-08T00:42:00.000000000Z,33,97,7873621,97.88,97.88,97.88,97.88,13,DX
2025-09-08T00:44:00.000000000Z,33,97,7873621,97.88,97.88,97.88,97.88,1,DX
2025-09-08T00:45:00.000000000Z,33,97,7873621,97.875,97.875,97.875,97.875,10,DX
2025-09-08T00:46:00.000000000Z,33,97,8024379,97.5,97.5,97.5,97.5,1,DX
2025-09-08T00:47:00.000000000Z,33,97,7873621,97.88,97.88,97.875,97.875,13,DX
2025-09-08T00:48:00.000000000Z,33,97,7873621,97.88,97.88,97.88,97.88,1,DX
2025-09-08T00:49:00.000000000Z,33,97,7873621,97.87,97.87,97.87,97.87,5,DX
2025-09-08T00:50:00.000000000Z,33,97,7873621,97.87,97.87,97.87,97.87,8,DX
2025-09-08T00:51:00.000000000Z,33,97,7873621,97.865,97.865,97.86,97.86,25,DX
2025-09-08T00:52:00.000000000Z,33,97,7873621,97.86,97.86,97.86,97.86,2,DX
2025-09-08T00:53:00.000000000Z,33,97,7873621,97.855,97.855,97.855,97.855,2,DX
2025-09-08T00:54:00.000000000Z,33,97,7873621,97.855,97.855,97.845,97.845,3,DX
2025-09-08T00:55:00.000000000Z,33,97,7873621,97.85,97.85,97.845,97.845,17,DX
2025-09-08T00:56:00.000000000Z,33,97,7873621,97.83,97.83,97.83,97.83,2,DX
2025-09-08T01:00:00.000000000Z,33,97,7873621,97.82,97.82,97.815,97.815,8,DX
2025-09-08T01:01:00.000000000Z,33,97,7873621,97.82,97.82,97.82,97.82,4,DX
2025-09-08T01:02:00.000000000Z,33,97,7873621,97.815,97.815,97.815,97.815,5,DX
2025-09-08T01:03:00.000000000Z,33,97,7873621,97.805,97.815,97.805,97.815,8,DX
2025-09-08T01:04:00.000000000Z,33,97,7873621,97.81,97.81,97.795,97.795,36,DX
2025-09-08T01:05:00.000000000Z,33,97,7873621,97.805,97.81,97.8,97.81,9,DX
2025-09-08T01:06:00.000000000Z,33,97,7873621,97.815,97.82,97.81,97.82,4,DX
2025-09-08T01:07:00.000000000Z,33,97,7873621,97.82,97.82,97.81,97.81,3,DX
2025-09-08T01:08:00.000000000Z,33,97,7873621,97.805,97.805,97.8,97.8,11,DX
2025-09-08T01:09:00.000000000Z,33,97,7873621,97.805,97.805,97.8,97.805,5,DX
2025-09-08T01:10:00.000000000Z,33,97,7873621,97.81,97.815,97.805,97.815,5,DX
2025-09-08T01:11:00.000000000Z,33,97,7873621,97.82,97.82,97.81,97.82,56,DX
2025-09-08T01:12:00.000000000Z,33,97,8024379,97.44,97.44,97.44,97.44,24,DX
2025-09-08T01:13:00.000000000Z,33,97,8024379,97.44,97.44,97.44,97.44,18,DX
2025-09-08T01:14:00.000000000Z,33,97,7873621,97.805,97.81,97.805,97.805,41,DX
2025-09-08T01:15:00.000000000Z,33,97,8024379,97.44,97.44,97.44,97.44,35,DX
2025-09-08T01:16:00.000000000Z,33,97,7873621,97.815,97.825,97.815,97.825,33,DX
2025-09-08T01:17:00.000000000Z,33,97,7873621,97.82,97.825,97.815,97.825,5,DX
2025-09-08T01:18:00.000000000Z,33,97,7873621,97.83,97.83,97.825,97.83,3,DX
2025-09-08T01:19:00.000000000Z,33,97,8024379,97.46,97.46,97.46,97.46,1,DX
2025-09-08T01:20:00.000000000Z,33,97,8024379,97.465,97.465,97.465,97.465,2,DX
2025-09-08T01:21:00.000000000Z,33,97,7873621,97.845,97.845,97.84,97.84,4,DX
2025-09-08T01:22:00.000000000Z,33,97,7873621,97.845,97.85,97.845,97.845,9,DX
2025-09-08T01:23:00.000000000Z,33,97,7873621,97.845,97.845,97.845,97.845,2,DX
2025-09-08T01:24:00.000000000Z,33,97,7873621,97.85,97.855,97.85,97.855,2,DX
2025-09-08T01:25:00.000000000Z,33,97,7873621,97.855,97.855,97.855,97.855,2,DX
2025-09-08T01:26:00.000000000Z,33,97,7873621,97.845,97.855,97.845,97.855,9,DX
2025-09-08T01:27:00.000000000Z,33,97,8024379,97.465,97.465,97.465,97.465,2,DX
2025-09-08T01:35:00.000000000Z,33,97,7873621,97.82,97.82,97.815,97.815,11,DX
2025-09-08T01:36:00.000000000Z,33,97,7873621,97.815,97.83,97.81,97.825,218,DX
2025-09-08T01:37:00.000000000Z,33,97,8024379,97.45,97.465,97.445,97.45,157,DX
2025-09-08T01:38:00.000000000Z,33,97,7873621,97.82,97.82,97.805,97.815,128,DX
2025-09-08T01:39:00.000000000Z,33,97,7873621,97.82,97.83,97.815,97.83,213,DX
2025-09-08T01:40:00.000000000Z,33,97,8024379,97.475,97.49,97.475,97.475,170,DX
2025-09-08T01:41:00.000000000Z,33,97,7873621,97.835,97.845,97.83,97.845,98,DX
2025-09-08T01:42:00.000000000Z,33,97,8024379,97.485,97.485,97.485,97.485,55,DX
2025-09-08T01:43:00.000000000Z,33,97,7873621,97.845,97.845,97.84,97.845,31,DX
2025-09-08T01:44:00.000000000Z,33,97,7873621,97.84,97.84,97.84,97.84,6,DX
2025-09-08T01:45:00.000000000Z,33,97,7873621,97.845,97.845,97.845,97.845,5,DX
2025-09-08T01:46:00.000000000Z,33,97,7873621,97.835,97.835,97.835,97.835,5,DX
2025-09-08T01:47:00.000000000Z,33,97,7873621,97.835,97.835,97.825,97.825,8,DX
2025-09-08T01:48:00.000000000Z,33,97,7873621,97.825,97.83,97.825,97.83,12,DX
2025-09-08T01:49:00.000000000Z,33,97,7873621,97.83,97.835,97.83,97.835,8,DX
2025-09-08T01:50:00.000000000Z,33,97,7873621,97.83,97.835,97.83,97.83,17,DX
2025-09-08T01:51:00.000000000Z,33,97,7873621,97.835,97.84,97.83,97.84,16,DX
2025-09-08T01:52:00.000000000Z,33,97,7873621,97.84,97.84,97.82,97.835,135,DX
2025-09-08T01:53:00.000000000Z,33,97,7873621,97.84,97.84,97.83,97.835,17,DX
2025-09-08T01:54:00.000000000Z,33,97,7873621,97.835,97.84,97.835,97.84,7,DX
2025-09-08T01:55:00.000000000Z,33,97,7873621,97.83,97.83,97.81,97.81,10,DX
2025-09-08T01:56:00.000000000Z,33,97,8024379,97.43,97.43,97.415,97.425,40,DX
2025-09-08T01:57:00.000000000Z,33,97,8024379,97.42,97.445,97.41,97.445,65,DX
2025-09-08T01:58:00.000000000Z,33,97,7873621,97.805,97.81,97.805,97.805,15,DX
2025-09-08T01:59:00.000000000Z,33,97,7873621,97.805,97.805,97.8,97.805,16,DX
2025-09-08T02:00:00.000000000Z,33,97,7873621,97.8,97.8,97.785,97.785,11,DX
2025-09-08T02:01:00.000000000Z,33,97,7873621,97.785,97.785,97.775,97.785,25,DX
2025-09-08T02:02:00.000000000Z,33,97,7873621,97.79,97.79,97.785,97.79,10,DX
2025-09-08T02:03:00.000000000Z,33,97,7873621,97.795,97.8,97.795,97.8,6,DX
2025-09-08T02:04:00.000000000Z,33,97,7873621,97.795,97.795,97.795,97.795,3,DX
2025-09-08T02:05:00.000000000Z,33,97,7873621,97.795,97.8,97.795,97.8,4,DX
2025-09-08T02:06:00.000000000Z,33,97,7873621,97.795,97.795,97.795,97.795,1,DX
2025-09-08T02:07:00.000000000Z,33,97,8024379,97.43,97.43,97.42,97.42,27,DX
2025-09-08T02:08:00.000000000Z,33,97,7873621,97.79,97.79,97.78,97.78,5,DX
2025-09-08T02:09:00.000000000Z,33,97,7873621,97.78,97.785,97.78,97.785,6,DX
2025-09-08T02:10:00.000000000Z,33,97,7873621,97.79,97.79,97.79,97.79,6,DX
2025-09-08T02:11:00.000000000Z,33,97,7873621,97.8,97.81,97.8,97.81,7,DX
2025-09-08T02:12:00.000000000Z,33,97,7873621,97.8,97.805,97.8,97.8,73,DX
2025-09-08T02:13:00.000000000Z,33,97,7873621,97.795,97.805,97.795,97.805,103,DX
2025-09-08T02:14:00.000000000Z,33,97,8024379,97.425,97.425,97.425,97.425,1,DX
2025-09-08T02:15:00.000000000Z,33,97,8024379,97.42,97.42,97.42,97.42,1,DX
2025-09-08T02:17:00.000000000Z,33,97,7873621,97.8,97.81,97.8,97.81,3,DX
2025-09-08T02:18:00.000000000Z,33,97,7873621,97.8,97.8,97.795,97.795,6,DX
2025-09-08T02:19:00.000000000Z,33,97,7873621,97.795,97.795,97.795,97.795,3,DX
2025-09-08T02:20:00.000000000Z,33,97,7873621,97.805,97.82,97.795,97.82,95,DX
2025-09-08T02:21:00.000000000Z,33,97,8024379,97.435,97.435,97.435,97.435,13,DX
2025-09-08T02:22:00.000000000Z,33,97,7873621,97.815,97.815,97.805,97.805,44,DX
