ts_event,open,high,low,close,volume,rtype,publisher_id,instrument_id,symbol
2025-09-30 04:15:00+00:00,97.635,97.635,97.63,97.635,7,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 04:30:00+00:00,97.645,97.655,97.615,97.615,39,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 04:45:00+00:00,97.61,97.61,97.58,97.58,32,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 05:00:00+00:00,97.58,97.58,97.555,97.56,58,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 05:15:00+00:00,97.55,97.555,97.535,97.55,65,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 05:30:00+00:00,97.555,97.56,97.54,97.555,91,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 05:45:00+00:00,97.55,97.555,97.525,97.555,125,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 06:00:00+00:00,97.55,97.57,97.525,97.535,149,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 06:15:00+00:00,97.535,97.545,97.49,97.5,93,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 06:30:00+00:00,97.495,97.495,97.445,97.455,143,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 06:45:00+00:00,97.46,97.485,97.45,97.485,322,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 07:00:00+00:00,97.49,97.5,97.18,97.465,324,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 07:15:00+00:00,97.465,97.47,97.425,97.435,172,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 07:30:00+00:00,97.445,97.53,97.445,97.485,208,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 07:45:00+00:00,97.48,97.495,97.455,97.465,181,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 08:00:00+00:00,97.46,97.465,97.405,97.405,156,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 08:15:00+00:00,97.405,97.445,97.395,97.425,122,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 08:30:00+00:00,97.42,97.42,97.34,97.37,665,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 08:45:00+00:00,97.375,97.39,97.36,97.39,173,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 09:00:00+00:00,97.39,97.43,97.375,97.43,196,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 09:15:00+00:00,97.43,97.45,97.405,97.45,128,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 09:30:00+00:00,97.45,97.465,97.435,97.44,152,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 09:45:00+00:00,97.435,97.455,97.42,97.45,179,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 10:00:00+00:00,97.44,97.48,97.425,97.475,115,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 10:15:00+00:00,97.475,97.48,97.455,97.465,63,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 10:30:00+00:00,97.475,97.495,97.47,97.485,292,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 10:45:00+00:00,97.49,97.5,97.46,97.48,190,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 11:00:00+00:00,97.47,97.525,97.46,97.52,133,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 11:15:00+00:00,97.525,97.53,97.5,97.515,89,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 11:30:00+00:00,97.51,97.51,97.495,97.495,36,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 11:45:00+00:00,97.505,97.515,97.475,97.475,60,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 12:00:00+00:00,97.47,97.485,97.435,97.465,246,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 12:15:00+00:00,97.47,97.48,97.17,97.47,178,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 12:30:00+00:00,97.475,97.52,97.46,97.51,260,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 12:45:00+00:00,97.505,97.52,97.475,97.5,177,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 13:00:00+00:00,97.495,97.61,97.485,97.57,470,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 13:15:00+00:00,97.56,97.645,97.31,97.61,287,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 13:30:00+00:00,97.605,97.605,97.515,97.52,261,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 13:45:00+00:00,97.52,97.52,-0.3,97.51,256,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 14:00:00+00:00,97.51,97.56,97.395,97.405,678,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 14:15:00+00:00,97.41,97.49,97.41,97.445,618,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 14:30:00+00:00,97.435,97.44,97.375,97.4,274,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 14:45:00+00:00,97.4,97.41,97.365,97.385,244,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 15:00:00+00:00,97.385,97.5,97.38,97.495,507,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 15:15:00+00:00,97.5,97.565,97.5,97.565,261,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 15:30:00+00:00,97.555,97.565,97.53,97.555,126,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 15:45:00+00:00,97.555,97.57,97.52,97.525,342,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 16:00:00+00:00,97.52,97.52,97.49,97.51,775,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 16:15:00+00:00,97.51,97.515,97.465,97.465,223,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 16:30:00+00:00,97.46,97.47,97.39,97.39,396,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 16:45:00+00:00,97.395,97.415,97.335,97.36,242,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 17:00:00+00:00,97.355,97.375,97.345,97.365,424,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 17:15:00+00:00,97.365,97.365,97.02,97.345,231,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 17:30:00+00:00,97.35,97.365,97.335,97.36,313,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 17:45:00+00:00,97.365,97.41,97.365,97.4,165,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 18:00:00+00:00,97.405,97.435,97.405,97.41,175,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 18:15:00+00:00,97.41,97.46,97.41,97.455,71,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 18:30:00+00:00,97.455,97.495,97.45,97.47,163,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 18:45:00+00:00,97.475,97.475,97.435,97.45,403,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 19:00:00+00:00,97.455,97.49,97.45,97.475,104,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 19:15:00+00:00,97.47,97.485,97.455,97.47,128,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 19:30:00+00:00,97.47,97.485,97.46,97.48,113,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 19:45:00+00:00,97.48,97.48,97.46,97.47,151,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 20:00:00+00:00,97.475,97.51,97.475,97.505,31,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 20:15:00+00:00,97.51,97.515,97.495,97.515,9,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 20:30:00+00:00,97.5,97.5,97.5,97.5,1,33.0,97.0,8024379.0,DX  FMZ0025!
2025-09-30 20:45:00+00:00,97.505,97.515,97.495,97.495,47,33.0,97.0,8024379.0,DX  FMZ0025!
2025-10-01 00:00:00+00:00,97.535,97.56,97.51,97.54,483,33.0,97.0,8024379.0,DX  FMZ0025!
2025-10-01 00:15:00+00:00,97.535,97.535,97.5,97.52,100,33.0,97.0,8024379.0,DX  FMZ0025!
2025-10-01 00:30:00+00:00,97.53,97.55,97.52,97.54,29,33.0,97.0,8024379.0,DX  FMZ0025!
